  idx	   wall_ms	   dt_ms	 cnt_dt_ms	   kind	content
    0	      0.00	    0.00	         —	   role	[ROLE:assistant]
    1	      0.00	    0.00	         —	content	'I'
    2	     10.08	   10.08	     10.08	content	"'m"
    3	     21.92	   11.85	     11.85	content	' sorry'
    4	     33.67	   11.74	     11.74	content	','
    5	     45.49	   11.82	     11.82	content	' but'
    6	     57.42	   11.93	     11.93	content	' I'
    7	     70.38	   12.96	     12.96	content	' can'
    8	     80.96	   10.58	     10.58	content	"'t"
    9	     92.79	   11.82	     11.82	content	' assist'
   10	    104.61	   11.82	     11.82	content	' with'
   11	    116.51	   11.89	     11.89	content	' that'
   12	    128.36	   11.86	     11.86	content	' request'
   13	    140.09	   11.72	     11.72	content	'.'
   14	    151.97	   11.88	         —	  empty	[EMPTY]
   15	    164.02	   12.06	     23.94	content	'\n'
   16	    176.22	   12.19	         —	  empty	[EMPTY]
   17	    187.47	   11.26	         —	  empty	[EMPTY]
   18	    199.32	   11.85	         —	  empty	[EMPTY]
   19	    211.15	   11.83	     47.12	content	'\n'
   20	    223.04	   11.90	         —	  empty	[EMPTY]
   21	    234.89	   11.84	         —	  empty	[EMPTY]
   22	    246.65	   11.77	         —	  empty	[EMPTY]
   23	    258.53	   11.88	     47.38	content	'\n'
   24	    270.73	   12.20	         —	  empty	[EMPTY]
   25	    282.12	   11.38	         —	  empty	[EMPTY]
   26	    293.99	   11.87	         —	  empty	[EMPTY]
   27	    306.27	   12.29	     47.74	content	'\n'
   28	    317.66	   11.39	         —	  empty	[EMPTY]
   29	    329.50	   11.84	         —	  empty	[EMPTY]
   30	    341.34	   11.84	     35.07	content	'\n'
   31	    353.22	   11.88	         —	  empty	[EMPTY]
   32	    365.02	   11.79	         —	  empty	[EMPTY]
   33	    376.93	   11.92	         —	  empty	[EMPTY]
   34	    388.70	   11.77	     47.36	content	'\n'
   35	    400.41	   11.71	         —	  empty	[EMPTY]
   36	    412.88	   12.47	         —	  empty	[EMPTY]
   37	    424.17	   11.29	     35.47	content	'\n'
   38	    435.91	   11.74	         —	  empty	[EMPTY]
   39	    447.74	   11.83	         —	  empty	[EMPTY]
   40	    459.78	   12.04	     35.61	content	'\n'
   41	    471.52	   11.74	         —	  empty	[EMPTY]
   42	    483.28	   11.76	         —	  empty	[EMPTY]
   43	    495.27	   12.00	     35.50	content	'\n'
   44	    506.93	   11.66	         —	  empty	[EMPTY]
   45	    521.77	   14.84	         —	  empty	[EMPTY]
   46	    530.51	    8.74	     35.23	content	'\n'
   47	    542.42	   11.91	         —	  empty	[EMPTY]
   48	    554.35	   11.93	         —	  empty	[EMPTY]
   49	    566.09	   11.74	     35.59	content	'\n'
   50	    577.96	   11.87	         —	  empty	[EMPTY]
   51	    589.94	   11.98	         —	  empty	[EMPTY]
   52	    601.75	   11.81	     35.66	content	'\n'
   53	    613.71	   11.97	         —	  empty	[EMPTY]
   54	    625.44	   11.73	         —	  empty	[EMPTY]
   55	    637.20	   11.76	     35.46	content	'\n'
   56	    649.06	   11.85	         —	  empty	[EMPTY]
   57	    661.06	   12.00	         —	  empty	[EMPTY]
   58	    672.75	   11.69	     35.54	content	'\n'
   59	    684.59	   11.84	         —	  empty	[EMPTY]
   60	    696.41	   11.83	         —	  empty	[EMPTY]
   61	    708.29	   11.88	     35.55	content	'\n'
   62	    721.40	   13.11	         —	  empty	[EMPTY]
   63	    731.94	   10.54	         —	  empty	[EMPTY]
   64	    743.77	   11.84	     35.48	content	'\n'
   65	    755.81	   12.04	         —	  empty	[EMPTY]
   66	    767.72	   11.91	         —	  empty	[EMPTY]
   67	    779.42	   11.70	     35.65	content	'\n'
   68	    791.12	   11.70	         —	  empty	[EMPTY]
   69	    802.97	   11.85	         —	  empty	[EMPTY]
   70	    814.80	   11.83	     35.38	content	'\n'
   71	    826.93	   12.13	         —	  empty	[EMPTY]
   72	    838.47	   11.53	         —	  empty	[EMPTY]
   73	    850.35	   11.88	     35.54	content	'\n'
   74	    862.35	   12.01	         —	  empty	[EMPTY]
   75	    874.03	   11.68	         —	  empty	[EMPTY]
   76	    885.87	   11.84	     35.52	content	'\n'
   77	    897.76	   11.90	         —	  empty	[EMPTY]
   78	    909.53	   11.77	         —	  empty	[EMPTY]
   79	    921.48	   11.95	     35.62	content	'\n'
   80	    933.19	   11.71	         —	  empty	[EMPTY]
   81	    945.01	   11.81	         —	  empty	[EMPTY]
   82	    957.01	   12.01	     35.53	content	'\n'
   83	    971.02	   14.01	         —	  empty	[EMPTY]
   84	    980.52	    9.50	         —	  empty	[EMPTY]
   85	    992.36	   11.84	     35.35	content	'\n'
   86	   1004.20	   11.83	         —	  empty	[EMPTY]
   87	   1016.02	   11.82	         —	  empty	[EMPTY]
   88	   1028.01	   11.99	     35.65	content	'\n'
   89	   1039.75	   11.74	         —	  empty	[EMPTY]
   90	   1051.62	   11.87	         —	  empty	[EMPTY]
   91	   1063.82	   12.20	     35.81	content	'\n'
   92	   1075.27	   11.46	         —	  empty	[EMPTY]
   93	   1087.17	   11.89	         —	  empty	[EMPTY]
   94	   1099.01	   11.84	     35.19	content	'\n'
   95	   1110.76	   11.75	         —	  empty	[EMPTY]
   96	   1122.55	   11.80	         —	  empty	[EMPTY]
   97	   1134.46	   11.91	     35.45	content	'\n'
   98	   1146.29	   11.83	         —	  empty	[EMPTY]
   99	   1158.55	   12.27	         —	  empty	[EMPTY]
  100	   1170.54	   11.98	     36.08	content	'\n'
  101	   1182.02	   11.48	         —	  empty	[EMPTY]
  102	   1193.68	   11.67	         —	  empty	[EMPTY]
  103	   1205.51	   11.83	     34.98	content	'\n'
  104	   1217.42	   11.91	         —	  empty	[EMPTY]
  105	   1229.20	   11.78	         —	  empty	[EMPTY]
  106	   1240.98	   11.78	     35.47	content	'\n'
  107	   1252.92	   11.94	         —	  empty	[EMPTY]
  108	   1264.76	   11.83	         —	  empty	[EMPTY]
  109	   1276.51	   11.75	     35.52	content	'\n'
  110	   1288.35	   11.84	         —	  empty	[EMPTY]
  111	   1300.21	   11.86	         —	  empty	[EMPTY]
  112	   1311.99	   11.78	     35.49	content	'\n'
  113	   1323.82	   11.83	         —	  empty	[EMPTY]
  114	   1335.67	   11.85	         —	  empty	[EMPTY]
  115	   1347.52	   11.86	     35.53	content	'\n'
  116	   1359.45	   11.93	         —	  empty	[EMPTY]
  117	   1371.37	   11.92	         —	  empty	[EMPTY]
  118	   1383.21	   11.84	     35.68	content	'\n'
